eventid,iyear,imonth,iday,country_txt,region_txt,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt,nkill,nwound,summary
1970000000,1970,4,14,Spain,Western Europe,Madrid,Hostage Taking (Kidnapping),Police,Unknown,Vehicle (non-explosive),3,3,"Unknown conducted a Hostage Taking (Kidnapping) on a police target in Madrid, causing 3 deaths."
1970000001,1970,5,10,Spain,Western Europe,Barcelona,Facility/Infrastructure Attack,Business,Anarchist cell,Chemical,10,31,Improvised explosive device targeting business detonated in Barcelona; Anarchist cell suspected.
1970000002,1970,2,25,United Kingdom,Western Europe,London,Bombing/Explosion,Government (General),Basque separatist faction,Vehicle (non-explosive),2,5,Bombing/Explosion targeting Government (General) in London; 2 fatalities. Claim by Basque separatist faction.
1970000003,1970,1,18,Belgium,Western Europe,Brussels,Assassination,Utilities,Basque separatist faction,Sabotage Equipment,1,9,Assassination targeting Utilities in Brussels; 1 fatalities. Claim by Basque separatist faction.
1970000004,1970,4,16,Romania,Eastern Europe,Cluj-Napoca,Hijacking,Government (General),Far-right militia,Incendiary,14,28,Improvised explosive device targeting government (general) detonated in Cluj-Napoca; Far-right militia suspected.
1970000005,1970,8,14,Romania,Eastern Europe,Bucharest,Unarmed Assault,Government (General),Chechen militants,Melee,1,1,Unarmed Assault targeting Government (General) in Bucharest; 1 fatalities. Claim by Chechen militants.
1970000006,1970,5,13,Belarus,Eastern Europe,Brest,Bombing/Explosion,Business,Unknown,Melee,1,8,Bombing/Explosion targeting Business in Brest; 1 fatalities. Claim by Unknown.
1970000007,1970,7,6,Poland,Eastern Europe,Gdansk,Unarmed Assault,Journalists & Media,Unknown,Chemical,2,1,Improvised explosive device targeting journalists & media detonated in Gdansk; Unknown suspected.
1970000008,1970,5,28,Israel,Middle East & North Africa,Tel Aviv,Facility/Infrastructure Attack,Religious Figures/Institutions,Hamas-aligned,Vehicle (non-explosive),1,3,Hamas-aligned attacked Religious Figures/Institutions in Tel Aviv using vehicle (non-explosive). 1 killed and 3 wounded reported.
1970000009,1970,1,21,Egypt,Middle East & North Africa,Alexandria,Assassination,NGO,Unknown,Vehicle (non-explosive),2,6,Unknown attacked NGO in Alexandria using vehicle (non-explosive). 2 killed and 6 wounded reported.
1970000010,1970,10,27,Egypt,Middle East & North Africa,Cairo,Assassination,Terrorists/Non-State Militia,Unknown,Explosives,2,0,Assassination targeting Terrorists/Non-State Militia in Cairo; 2 fatalities. Claim by Unknown.
1970000011,1970,7,21,Iraq,Middle East & North Africa,Kirkuk,Bombing/Explosion,NGO,Unknown,Firearms,1,6,Bombing/Explosion targeting NGO in Kirkuk; 1 fatalities. Claim by Unknown.
1970000012,1970,7,2,Nigeria,Sub-Saharan Africa,Kano,Bombing/Explosion,Police,Boko Haram,Melee,1,0,Improvised explosive device targeting police detonated in Kano; Boko Haram suspected.
1970000013,1970,3,15,South Africa,Sub-Saharan Africa,Durban,Hostage Taking (Kidnapping),Educational Institution,ADF,Sabotage Equipment,2,4,Coordinated Hostage Taking (Kidnapping) on Educational Institution in Durban. Attribution to ADF.
1970000014,1970,1,8,Kenya,Sub-Saharan Africa,Nairobi,Facility/Infrastructure Attack,Educational Institution,ISWAP,Chemical,2,1,Coordinated Facility/Infrastructure Attack on Educational Institution in Nairobi. Attribution to ISWAP.
1970000015,1970,1,13,Sudan,Sub-Saharan Africa,Khartoum,Assassination,Government (General),Al-Shabaab,Vehicle (non-explosive),125,357,Improvised explosive device targeting government (general) detonated in Khartoum; Al-Shabaab suspected.
1970000016,1970,8,2,India,South Asia,Bangalore,Bombing/Explosion,Transportation,Unknown,Sabotage Equipment,42,474,Improvised explosive device targeting transportation detonated in Bangalore; Unknown suspected.
1970000017,1970,8,4,Bangladesh,South Asia,Dhaka,Armed Assault,Business,Unknown,Firearms,6,15,"Unknown conducted a Armed Assault on a business target in Dhaka, causing 6 deaths."
1970000018,1970,1,24,Afghanistan,South Asia,Kandahar,Unarmed Assault,Private Citizens & Property,Lashkar-e-Taiba,Incendiary,2,6,Improvised explosive device targeting private citizens & property detonated in Kandahar; Lashkar-e-Taiba suspected.
1970000019,1970,3,2,Sri Lanka,South Asia,Jaffna,Hostage Taking (Kidnapping),Educational Institution,Unknown,Firearms,2,2,Improvised explosive device targeting educational institution detonated in Jaffna; Unknown suspected.
1970000020,1970,5,11,Philippines,Southeast Asia,Davao,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,MILF dissidents,Melee,3,0,Improvised explosive device targeting terrorists/non-state militia detonated in Davao; MILF dissidents suspected.
1970000021,1970,4,20,Thailand,Southeast Asia,Bangkok,Assassination,Religious Figures/Institutions,MILF dissidents,Incendiary,1,8,Assassination targeting Religious Figures/Institutions in Bangkok; 1 fatalities. Claim by MILF dissidents.
1970000022,1970,7,12,Thailand,Southeast Asia,Pattani,Hostage Taking (Kidnapping),Religious Figures/Institutions,BIFF,Sabotage Equipment,0,4,Coordinated Hostage Taking (Kidnapping) on Religious Figures/Institutions in Pattani. Attribution to BIFF.
1970000023,1970,12,12,Myanmar,Southeast Asia,Rakhine,Bombing/Explosion,Military,MILF dissidents,Sabotage Equipment,2,4,Improvised explosive device targeting military detonated in Rakhine; MILF dissidents suspected.
1970000024,1970,11,9,Japan,East Asia,Tokyo,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Firearms,1,5,Facility/Infrastructure Attack targeting Religious Figures/Institutions in Tokyo; 1 fatalities. Claim by Unknown.
1970000025,1970,10,17,Taiwan,East Asia,Kaohsiung,Unarmed Assault,Educational Institution,Unknown,Sabotage Equipment,1,3,Improvised explosive device targeting educational institution detonated in Kaohsiung; Unknown suspected.
1970000026,1970,2,23,South Korea,East Asia,Busan,Assassination,Business,Unknown,Firearms,115,427,Unknown attacked Business in Busan using firearms. 115 killed and 427 wounded reported.
1970000027,1970,11,28,China,East Asia,Urumqi,Bombing/Explosion,Transportation,Domestic militant cell,Firearms,0,3,"Domestic militant cell conducted a Bombing/Explosion on a transportation target in Urumqi, causing 0 deaths."
1970000028,1970,5,26,United States,North America,New York,Armed Assault,Business,Lone-wolf attacker,Firearms,0,4,Armed Assault targeting Business in New York; 0 fatalities. Claim by Lone-wolf attacker.
1970000029,1970,1,22,United States,North America,Los Angeles,Unarmed Assault,Transportation,Eco-radical cell,Firearms,2,8,Unarmed Assault targeting Transportation in Los Angeles; 2 fatalities. Claim by Eco-radical cell.
1970000030,1970,1,26,Mexico,North America,Juárez,Hijacking,Private Citizens & Property,Unknown,Vehicle (non-explosive),0,7,Hijacking targeting Private Citizens & Property in Juárez; 0 fatalities. Claim by Unknown.
1970000031,1970,2,19,United States,North America,New York,Bombing/Explosion,Transportation,Unknown,Melee,0,8,"Unknown conducted a Bombing/Explosion on a transportation target in New York, causing 0 deaths."
1970000032,1970,6,23,Peru,South America,Lima,Facility/Infrastructure Attack,Government (General),Unknown,Vehicle (non-explosive),3,8,Facility/Infrastructure Attack targeting Government (General) in Lima; 3 fatalities. Claim by Unknown.
1970000033,1970,11,11,Peru,South America,Ayacucho,Hijacking,Government (General),Shining Path remnants,Chemical,0,0,Shining Path remnants attacked Government (General) in Ayacucho using chemical. 0 killed and 0 wounded reported.
1970000034,1970,4,28,Peru,South America,Ayacucho,Facility/Infrastructure Attack,Terrorists/Non-State Militia,Unknown,Vehicle (non-explosive),3,6,Unknown attacked Terrorists/Non-State Militia in Ayacucho using vehicle (non-explosive). 3 killed and 6 wounded reported.
1970000035,1970,3,10,Argentina,South America,Rosario,Bombing/Explosion,Private Citizens & Property,ELN,Sabotage Equipment,2,2,"ELN conducted a Bombing/Explosion on a private citizens & property target in Rosario, causing 2 deaths."
1970000036,1970,4,19,Guatemala,Central America & Caribbean,Guatemala City,Hijacking,Police,Unknown,Chemical,0,0,Coordinated Hijacking on Police in Guatemala City. Attribution to Unknown.
1970000037,1970,6,24,Cuba,Central America & Caribbean,Havana,Bombing/Explosion,Military,MS-13 splinter,Incendiary,15,21,Improvised explosive device targeting military detonated in Havana; MS-13 splinter suspected.
1970000038,1970,7,12,Cuba,Central America & Caribbean,Havana,Facility/Infrastructure Attack,Transportation,Local insurgent cell,Melee,14,16,Improvised explosive device targeting transportation detonated in Havana; Local insurgent cell suspected.
1970000039,1970,10,2,Guatemala,Central America & Caribbean,Guatemala City,Facility/Infrastructure Attack,Military,Local insurgent cell,Sabotage Equipment,0,7,Facility/Infrastructure Attack targeting Military in Guatemala City; 0 fatalities. Claim by Local insurgent cell.
1970000040,1971,5,8,France,Western Europe,Paris,Armed Assault,NGO,Anarchist cell,Firearms,1,1,Anarchist cell attacked NGO in Paris using firearms. 1 killed and 1 wounded reported.
1970000041,1971,4,15,Germany,Western Europe,Hamburg,Assassination,NGO,Anarchist cell,Firearms,2,9,Coordinated Assassination on NGO in Hamburg. Attribution to Anarchist cell.
1970000042,1971,9,1,Spain,Western Europe,Madrid,Armed Assault,Utilities,Basque separatist faction,Vehicle (non-explosive),1,4,"Basque separatist faction conducted a Armed Assault on a utilities target in Madrid, causing 1 deaths."
1970000043,1971,10,3,Italy,Western Europe,Rome,Unarmed Assault,Transportation,Anarchist cell,Sabotage Equipment,2,2,Improvised explosive device targeting transportation detonated in Rome; Anarchist cell suspected.
1970000044,1971,4,19,Poland,Eastern Europe,Gdansk,Hijacking,Police,Far-right militia,Firearms,2,10,Improvised explosive device targeting police detonated in Gdansk; Far-right militia suspected.
1970000045,1971,5,24,Belarus,Eastern Europe,Brest,Armed Assault,Journalists & Media,Far-right militia,Chemical,2,36,Coordinated Armed Assault on Journalists & Media in Brest. Attribution to Far-right militia.
1970000046,1971,12,11,Poland,Eastern Europe,Warsaw,Hostage Taking (Kidnapping),Police,Chechen militants,Vehicle (non-explosive),3,4,Hostage Taking (Kidnapping) targeting Police in Warsaw; 3 fatalities. Claim by Chechen militants.
1970000047,1971,7,5,Russia,Eastern Europe,Volgograd,Bombing/Explosion,Business,Far-right militia,Incendiary,1,6,Improvised explosive device targeting business detonated in Volgograd; Far-right militia suspected.
1970000048,1971,5,7,Libya,Middle East & North Africa,Benghazi,Hostage Taking (Kidnapping),Military,PKK-aligned,Firearms,0,0,"PKK-aligned conducted a Hostage Taking (Kidnapping) on a military target in Benghazi, causing 0 deaths."
1970000049,1971,4,2,Lebanon,Middle East & North Africa,Beirut,Facility/Infrastructure Attack,Transportation,Houthi militants,Incendiary,0,3,Houthi militants attacked Transportation in Beirut using incendiary. 0 killed and 3 wounded reported.
1970000050,1971,10,11,Egypt,Middle East & North Africa,Sinai,Hostage Taking (Kidnapping),Educational Institution,PKK-aligned,Vehicle (non-explosive),1,6,"PKK-aligned conducted a Hostage Taking (Kidnapping) on a educational institution target in Sinai, causing 1 deaths."
1970000051,1971,9,7,Libya,Middle East & North Africa,Benghazi,Hostage Taking (Kidnapping),Police,Houthi militants,Explosives,0,3,Hostage Taking (Kidnapping) targeting Police in Benghazi; 0 fatalities. Claim by Houthi militants.
1970000052,1971,12,1,Sudan,Sub-Saharan Africa,Khartoum,Hijacking,Military,Boko Haram,Vehicle (non-explosive),1,1,Coordinated Hijacking on Military in Khartoum. Attribution to Boko Haram.
1970000053,1971,10,5,South Africa,Sub-Saharan Africa,Cape Town,Assassination,Utilities,Al-Shabaab,Incendiary,1,9,Al-Shabaab attacked Utilities in Cape Town using incendiary. 1 killed and 9 wounded reported.
1970000054,1971,6,4,Sudan,Sub-Saharan Africa,Khartoum,Hijacking,Private Citizens & Property,Al-Shabaab,Sabotage Equipment,1,5,Hijacking targeting Private Citizens & Property in Khartoum; 1 fatalities. Claim by Al-Shabaab.
1970000055,1971,3,8,Somalia,Sub-Saharan Africa,Baidoa,Bombing/Explosion,Private Citizens & Property,ISWAP,Chemical,1,3,Coordinated Bombing/Explosion on Private Citizens & Property in Baidoa. Attribution to ISWAP.
1970000056,1971,4,25,Bangladesh,South Asia,Chittagong,Bombing/Explosion,Transportation,Lashkar-e-Taiba,Explosives,15,1,Bombing/Explosion targeting Transportation in Chittagong; 15 fatalities. Claim by Lashkar-e-Taiba.
1970000057,1971,6,23,India,South Asia,Kolkata,Unarmed Assault,NGO,Lashkar-e-Taiba,Incendiary,1,9,Lashkar-e-Taiba attacked NGO in Kolkata using incendiary. 1 killed and 9 wounded reported.
1970000058,1971,7,26,Pakistan,South Asia,Peshawar,Bombing/Explosion,NGO,Tehrik-i-Taliban Pakistan,Firearms,6,6,Coordinated Bombing/Explosion on NGO in Peshawar. Attribution to Tehrik-i-Taliban Pakistan.
1970000059,1971,2,13,Sri Lanka,South Asia,Colombo,Armed Assault,NGO,Lashkar-e-Taiba,Incendiary,0,7,Coordinated Armed Assault on NGO in Colombo. Attribution to Lashkar-e-Taiba.
1970000060,1971,9,5,Thailand,Southeast Asia,Yala,Armed Assault,Private Citizens & Property,Abu Sayyaf Group,Chemical,9,26,Improvised explosive device targeting private citizens & property detonated in Yala; Abu Sayyaf Group suspected.
1970000061,1971,3,9,Indonesia,Southeast Asia,Jakarta,Facility/Infrastructure Attack,Terrorists/Non-State Militia,BIFF,Melee,23,41,Coordinated Facility/Infrastructure Attack on Terrorists/Non-State Militia in Jakarta. Attribution to BIFF.
1970000062,1971,4,22,Myanmar,Southeast Asia,Mandalay,Hijacking,Military,Abu Sayyaf Group,Incendiary,15,4,Hijacking targeting Military in Mandalay; 15 fatalities. Claim by Abu Sayyaf Group.
1970000063,1971,12,24,Philippines,Southeast Asia,Davao,Unarmed Assault,Transportation,BIFF,Explosives,1,4,Unarmed Assault targeting Transportation in Davao; 1 fatalities. Claim by BIFF.
1970000064,1971,6,15,Taiwan,East Asia,Kaohsiung,Facility/Infrastructure Attack,Terrorists/Non-State Militia,Unknown,Incendiary,7,15,Facility/Infrastructure Attack targeting Terrorists/Non-State Militia in Kaohsiung; 7 fatalities. Claim by Unknown.
1970000065,1971,12,19,South Korea,East Asia,Seoul,Unarmed Assault,Journalists & Media,Unknown,Vehicle (non-explosive),11,2,Unknown attacked Journalists & Media in Seoul using vehicle (non-explosive). 11 killed and 2 wounded reported.
1970000066,1971,11,5,South Korea,East Asia,Seoul,Assassination,NGO,Unknown,Melee,3,8,"Unknown conducted a Assassination on a ngo target in Seoul, causing 3 deaths."
1970000067,1971,3,11,China,East Asia,Beijing,Facility/Infrastructure Attack,Business,Unknown,Vehicle (non-explosive),3,4,Improvised explosive device targeting business detonated in Beijing; Unknown suspected.
1970000068,1971,6,17,United States,North America,Boston,Facility/Infrastructure Attack,Private Citizens & Property,Far-right cell,Vehicle (non-explosive),15,20,"Far-right cell conducted a Facility/Infrastructure Attack on a private citizens & property target in Boston, causing 15 deaths."
1970000069,1971,7,15,United States,North America,Atlanta,Hostage Taking (Kidnapping),Business,Unknown,Melee,0,1,Improvised explosive device targeting business detonated in Atlanta; Unknown suspected.
1970000070,1971,2,21,Mexico,North America,Juárez,Assassination,Transportation,Far-right cell,Sabotage Equipment,0,0,Improvised explosive device targeting transportation detonated in Juárez; Far-right cell suspected.
1970000071,1971,10,19,United States,North America,Los Angeles,Hijacking,Private Citizens & Property,Far-right cell,Incendiary,0,7,Improvised explosive device targeting private citizens & property detonated in Los Angeles; Far-right cell suspected.
1970000072,1971,8,12,Argentina,South America,Rosario,Hijacking,Transportation,ELN,Incendiary,2,8,"ELN conducted a Hijacking on a transportation target in Rosario, causing 2 deaths."
1970000073,1971,3,15,Peru,South America,Ayacucho,Bombing/Explosion,Religious Figures/Institutions,FARC-EP dissidents,Vehicle (non-explosive),0,8,"FARC-EP dissidents conducted a Bombing/Explosion on a religious figures/institutions target in Ayacucho, causing 0 deaths."
1970000074,1971,12,7,Chile,South America,Santiago,Unarmed Assault,NGO,ELN,Chemical,0,10,"ELN conducted a Unarmed Assault on a ngo target in Santiago, causing 0 deaths."
1970000075,1971,7,19,Brazil,South America,Rio de Janeiro,Facility/Infrastructure Attack,Educational Institution,FARC-EP dissidents,Melee,2,6,"FARC-EP dissidents conducted a Facility/Infrastructure Attack on a educational institution target in Rio de Janeiro, causing 2 deaths."
1970000076,1971,8,14,Guatemala,Central America & Caribbean,Guatemala City,Assassination,Military,MS-13 splinter,Explosives,3,2,Improvised explosive device targeting military detonated in Guatemala City; MS-13 splinter suspected.
1970000077,1971,2,19,Guatemala,Central America & Caribbean,Guatemala City,Facility/Infrastructure Attack,Transportation,MS-13 splinter,Sabotage Equipment,1,10,Facility/Infrastructure Attack targeting Transportation in Guatemala City; 1 fatalities. Claim by MS-13 splinter.
1970000078,1971,3,3,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Private Citizens & Property,MS-13 splinter,Sabotage Equipment,1,1,Armed Assault targeting Private Citizens & Property in Tegucigalpa; 1 fatalities. Claim by MS-13 splinter.
1970000079,1971,9,21,Honduras,Central America & Caribbean,Tegucigalpa,Facility/Infrastructure Attack,Business,Unknown,Vehicle (non-explosive),1,9,Improvised explosive device targeting business detonated in Tegucigalpa; Unknown suspected.
1970000080,1972,6,16,Italy,Western Europe,Milan,Bombing/Explosion,Business,IRA-aligned militants,Melee,2,9,Bombing/Explosion targeting Business in Milan; 2 fatalities. Claim by IRA-aligned militants.
1970000081,1972,11,5,Spain,Western Europe,Madrid,Armed Assault,Utilities,Far-right cell,Explosives,2,1,Coordinated Armed Assault on Utilities in Madrid. Attribution to Far-right cell.
1970000082,1972,7,5,United Kingdom,Western Europe,London,Bombing/Explosion,Police,IRA-aligned militants,Sabotage Equipment,1,8,Improvised explosive device targeting police detonated in London; IRA-aligned militants suspected.
1970000083,1972,11,21,United Kingdom,Western Europe,Belfast,Assassination,Military,IRA-aligned militants,Firearms,3,7,"IRA-aligned militants conducted a Assassination on a military target in Belfast, causing 3 deaths."
1970000084,1972,4,28,Ukraine,Eastern Europe,Kharkiv,Hijacking,Military,Unknown,Firearms,0,9,Unknown attacked Military in Kharkiv using firearms. 0 killed and 9 wounded reported.
